,Loss,Attack,Feature,ATE Mean value,ATE p-value,Random Cause Refuter Estimated Effect,Random Cause Refuter New Effect,Placebo Treatment Refuter,Placebo Treatment p_value,Subset Refuter,Subset Refuter p_value,ATE Random Cause Refuter Estimated Effect,ATE Random Cause Refuter New Effect,ATE Subset Refuter,ATE Subset Refuter p_value
108,mse,Oak17Acc,TrainLoss,-0.1367721764023645,0.0011237601420285405,,,,,,,0.0,0.0,0.0,0.0
109,mse,Oak17Acc,TestLoss,0.25806009729940665,9.500842679939573e-26,,,,,,,0.0,0.0,0.0,0.0
110,mse,Oak17Acc,TrainVar,0.0277389209971316,0.39407196684939827,,,,,,,0.0,0.0,0.0,0.0
111,mse,Oak17Acc,TestVar,0.20574806003420032,0.12516960072719677,,,,,,,0.0,0.0,0.0,0.0
112,mse,Oak17Acc,LossDiff,0.6194007033023057,0.28613246559042954,,,,,,,0.0,0.0,0.0,0.0
113,mse,Oak17Acc,AccDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
114,mse,Oak17Acc,NumParams,-0.005548985347973767,0.009431582423699111,,,,,,,0.0,0.0,0.0,0.0
115,mse,Oak17Acc,TrainSize,-0.0881063618576321,0.0042460109812764504,,,,,,,0.0,0.0,0.0,0.0
116,mse,Oak17Acc,CentroidDistance.origin.,0.13720964498266552,0.379792837301268,,,,,,,0.0,0.0,0.0,0.0
117,mse,Top3MLLeakAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
118,mse,Top3MLLeakAcc,TestBias2,-0.058007066894596004,0.0963571524130733,,,,,,,0.0,0.0,0.0,0.0
119,mse,Top3MLLeakAcc,TrainAcc,0.12449893465325751,6.150416526389736e-12,,,,,,,0.0,0.0,0.0,0.0
120,mse,Top3MLLeakAcc,TestAcc,0,0,,,,,,,0.0,0.0,0.0,0.0
121,mse,Top3MLLeakAcc,TrainLoss,-0.3827172254401444,0.027581266623263007,,,,,,,0.0,0.0,0.0,0.0
122,mse,Top3MLLeakAcc,TestLoss,0.25566891002390313,4.872944452512138e-06,,,,,,,0.0,0.0,0.0,0.0
123,mse,Top3MLLeakAcc,TrainVar,-0.15507186814391644,0.7909668491057732,,,,,,,0.0,0.0,0.0,0.0
124,mse,Top3MLLeakAcc,TestVar,0.23499566817401996,0.05084555535102168,,,,,,,0.0,0.0,0.0,0.0
125,mse,Top3MLLeakAcc,LossDiff,0.21468234896336524,8.42548405991975e-10,,,,,,,0.0,0.0,0.0,0.0
126,mse,Top3MLLeakAcc,AccDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
127,mse,Top3MLLeakAcc,NumParams,0.11068614153911593,0.06764176619738232,,,,,,,0.0,0.0,0.0,0.0
128,mse,Top3MLLeakAcc,TrainSize,-0.0888186941813679,0.001724778589653929,,,,,,,0.0,0.0,0.0,0.0
129,mse,Top3MLLeakAcc,CentroidDistance.sorted_3.,0,0,,,,,,,0.0,0.0,0.0,0.0
130,mse,Top3MLLeakLAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
131,mse,Top3MLLeakLAcc,TestBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
132,mse,Top3MLLeakLAcc,TrainAcc,0.00855488132052118,2.8108807296501323e-10,,,,,,,0.0,0.0,0.0,0.0
133,mse,Top3MLLeakLAcc,TestAcc,0,0,,,,,,,0.0,0.0,0.0,0.0
134,mse,Top3MLLeakLAcc,TrainLoss,-0.4812484895584258,0.010421616542587499,,,,,,,0.0,0.0,0.0,0.0
135,mse,Top3MLLeakLAcc,TestLoss,0.27089798251950287,3.6962700711955065e-54,,,,,,,0.0,0.0,0.0,0.0
136,mse,Top3MLLeakLAcc,TrainVar,-0.06272157578096793,0.8802995640087093,,,,,,,0.0,0.0,0.0,0.0
137,mse,Top3MLLeakLAcc,TestVar,0,0,,,,,,,0.0,0.0,0.0,0.0
138,mse,Top3MLLeakLAcc,LossDiff,0.2782813094946437,1.459813654456562e-65,,,,,,,0.0,0.0,0.0,0.0
139,mse,Top3MLLeakLAcc,AccDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
140,mse,Top3MLLeakLAcc,NumParams,0.16445367183605353,0.07258370367833146,,,,,,,0.0,0.0,0.0,0.0
141,mse,Top3MLLeakLAcc,TrainSize,-0.0935339909819437,0.006527615921735344,,,,,,,0.0,0.0,0.0,0.0
